"Date","OS","value"
2016-03-12,"iOS",123
2016-03-13,"iOS",160
2016-03-14,"iOS",89
2016-03-15,"iOS",84
2016-03-16,"iOS",75
2016-03-17,"iOS",97
2016-03-18,"iOS",183
2016-03-19,"iOS",157
2016-03-20,"iOS",160
2016-03-21,"iOS",108
2016-03-22,"iOS",96
2016-03-23,"iOS",87
2016-03-24,"iOS",89
2016-03-25,"iOS",213
2016-03-26,"iOS",182
2016-03-27,"iOS",212
2016-03-28,"iOS",149
2016-03-29,"iOS",128
2016-03-30,"iOS",125
2016-03-31,"iOS",240
2016-04-01,"iOS",353
2016-04-02,"iOS",299
2016-04-03,"iOS",208
2016-04-04,"iOS",241
2016-04-05,"iOS",287
2016-04-06,"iOS",152
2016-04-07,"iOS",136
2016-04-08,"iOS",237
2016-04-09,"iOS",170
2016-04-10,"iOS",184
2016-04-11,"iOS",103
2016-04-12,"iOS",98
2016-04-13,"iOS",89
2016-04-14,"iOS",104
2016-04-15,"iOS",199
2016-04-16,"iOS",157
2016-04-17,"iOS",164
2016-04-18,"iOS",107
2016-04-19,"iOS",77
2016-04-20,"iOS",79
2016-04-21,"iOS",117
2016-04-22,"iOS",211
2016-04-23,"iOS",162
2016-04-24,"iOS",190
2016-04-25,"iOS",101
2016-04-26,"iOS",82
2016-04-27,"iOS",102
2016-04-28,"iOS",116
2016-04-29,"iOS",282
2016-04-30,"iOS",183
2016-05-01,"iOS",194
2016-05-02,"iOS",183
2016-05-03,"iOS",103
2016-05-04,"iOS",105
2016-05-05,"iOS",133
2016-05-06,"iOS",257
2016-05-07,"iOS",180
2016-05-08,"iOS",224
2016-05-09,"iOS",126
2016-05-10,"iOS",95
2016-05-11,"iOS",101
2016-05-12,"iOS",139
2016-05-13,"iOS",401
2016-05-14,"iOS",268
2016-05-15,"iOS",313
2016-05-16,"iOS",162
2016-05-17,"iOS",151
2016-05-18,"iOS",139
2016-05-19,"iOS",175
2016-05-20,"iOS",365
2016-05-21,"iOS",278
2016-05-22,"iOS",294
2016-05-23,"iOS",162
2016-05-24,"iOS",103
2016-05-25,"iOS",151
2016-05-26,"iOS",177
2016-05-27,"iOS",320
2016-05-28,"iOS",255
2016-05-29,"iOS",267
2016-05-30,"iOS",151
2016-05-31,"iOS",126
2016-06-01,"iOS",128
2016-06-02,"iOS",121
2016-06-03,"iOS",192
2016-06-04,"iOS",210
2016-06-05,"iOS",205
2016-06-06,"iOS",167
2016-06-07,"iOS",173
2016-06-08,"iOS",341
2016-06-09,"iOS",311
2016-06-10,"iOS",262
2016-06-11,"iOS",276
2016-06-12,"iOS",315
2016-06-13,"iOS",155
2016-06-14,"iOS",121
2016-06-15,"iOS",152
2016-06-16,"iOS",173
2016-06-17,"iOS",217
2016-06-18,"iOS",247
2016-06-19,"iOS",253
2016-06-20,"iOS",191
2016-06-21,"iOS",151
2016-06-22,"iOS",178
2016-06-23,"iOS",180
2016-06-24,"iOS",264
2016-06-25,"iOS",261
2016-06-26,"iOS",268
2016-06-27,"iOS",231
2016-06-28,"iOS",202
2016-06-29,"iOS",198
2016-06-30,"iOS",231
2016-07-01,"iOS",326
2016-07-02,"iOS",266
2016-07-03,"iOS",305
2016-07-04,"iOS",226
2016-07-05,"iOS",187
2016-07-06,"iOS",171
2016-07-07,"iOS",181
2016-07-08,"iOS",148
2016-07-09,"iOS",256
2016-07-10,"iOS",232
2016-07-11,"iOS",190
2016-07-12,"iOS",189
2016-07-13,"iOS",180
2016-07-14,"iOS",232
2016-07-15,"iOS",337
2016-07-16,"iOS",260
2016-07-17,"iOS",281
2016-07-18,"iOS",218
2016-07-19,"iOS",211
2016-07-20,"iOS",210
2016-07-21,"iOS",184
2016-07-22,"iOS",302
2016-07-23,"iOS",264
2016-07-24,"iOS",329
2016-07-25,"iOS",234
2016-07-26,"iOS",214
2016-07-27,"iOS",173
2016-07-28,"iOS",203
2016-07-29,"iOS",344
2016-07-30,"iOS",314
2016-07-31,"iOS",344
2016-08-01,"iOS",212
2016-08-02,"iOS",198
2016-08-03,"iOS",188
2016-08-04,"iOS",202
2016-08-05,"iOS",334
2016-08-06,"iOS",234
2016-08-07,"iOS",263
2016-08-08,"iOS",161
2016-08-09,"iOS",169
2016-08-10,"iOS",154
2016-08-11,"iOS",146
2016-08-12,"iOS",221
2016-08-13,"iOS",220
2016-08-14,"iOS",223
2016-08-15,"iOS",192
2016-08-16,"iOS",156
2016-08-17,"iOS",126
2016-08-18,"iOS",163
2016-08-19,"iOS",242
2016-08-20,"iOS",193
2016-08-21,"iOS",187
2016-08-22,"iOS",151
2016-08-23,"iOS",149
